no.,가수,곡 명,발매년도,계절,노래가사,성별
920,EXO,EL DORADO,2015.3.30,사계절,"또 같은 꿈을 꿨어 끝없는 사막 끝에 눈부신 도시는 항상 닿기도 전에 사라져버려 내가 가야 할 그 곳을 향해서 멀고도 험난한 여정을 하겠어 아무것도 확신 할 수도 기약조차 할 수 없어도 Find the El Dorado 난 지금 떠나려해 더 큰 모험엔 언제나 위험이 따르는 법 우리 앞에 펼쳐진 저 빛 속으로 그 누구도 모르는 미래를 향해 먼 훗날에 전설이 될 걸음 The El dorado 어떤 날엔 폭풍 속에 있다 해도 함께라면 두렵지 않아 oh El Dorado rado 낙원을 찾아 Sail sail sail, gotta gotta go go, gotta find the El Dorado El Dorado do Sail sail sail, gotta gotta go go, gotta find the El Dorado El Dorado 고요한 바람 소리가 난 들려 어디서 불어왔을까 금빛 노래 두 눈을 감아보니 조금 더 선명해진 그 곳이 아른거려 저 끝을 알 수 없어도 또 돌아갈 순 없어도 Find the El Dorado 그 곳이 나를 부를 때 같은 자리에 난 멈춰있진 않겠어 저 멀리 모래로 된 높은 파도 또 몰아쳐 와도 내가 만날 운명 그건 El Dorado Sail sail sail, gotta gotta go go, gotta find the El Dorado El Dorado 험난한 여정 장애물 이어져 하나된 우린 모든걸 넘어 저 빛은 커져 No pain No gain 이곳은 미지의 세계 열손가락 모두 더해 위에 원을 We are one Now we're here 수많은 시간들이 우리를 스치고 더 펼쳐진 날들이 난 더욱 기대가 돼 날 믿어준 그들에게 옳았다고 증명해 보일거야 같은 하늘 같은 이름 아래 우린 하나기에 서로를 믿어 oh El Dorado rado (I know it’s there) 저 멀리 모래로 된 높은 파도 또 몰아쳐 와도 우린 다시 맞서 결국 El dorado Sail sail sail, gotta gotta go go, gotta find the El Dorado El Dorado",남
921,빈지노,Life In Color,2016.5.20,사계절,"색깔 없는 과일 누가 먹겠니 모양이 같은 게 수백 개면 널 찾겠니 다들 똑같앴지 다 생각이 굳어있었지 딱딱딱 딱 하나 있는 똑똑한 외계인 너였어 그런 너라면 뭔들, 너랑 이면 뭐든 할래 너의 우주선이 위험해 보여도 난 탈래 난 모험심 많은 risk taker with a palette so i'll fly with you 너가 우주선을 타면 내가 튜닝해줄게 너에게 초능력이 있어 나를 사로잡았다면 나는 물감이 많아 i'll color you i'll make u colorful 너가 옷이 필요하다면 baby i can style you 어느 누구도 본 적 없는 외계인과 예술가 우린 조합이 좋아요 i just wanna get inspired 근데 지구인들은 색깔이 다 비슷해 근데 today i found you baby i feel something different because of you 내 인생에 들어와요 my lifes in color 나는 틀을 늘 깨 너랑 함께 있을 때면 난 i feel something different because of you 색깔없는 과일 누가 먹겠니 모양이 같은게 수백개면 널 찾겠니 다들 똑같앴지 다 생각이 굳어있었지 딱딱딱 딱 하나있는 똑똑한 외계인 너였어 그런 너라면 뭔들, 너랑이면 뭐든 할래 너의 우주선이 위험해 보여도 난 탈래 난 모험심 많은 risk taker with a palette so i'll fly with you baby i'll fly with you 난 재채기를 하면 그게 무지개가 돼 i 아츄 너랑 있을 땐 바다같이 내 맘 깊어 like blue baby i got blue 캔버스 같은 달력 위에 어떤 그림을 그릴까 생각을 한다면 너가 없이는 나는 아무것도 안 떠올라 머릿속이 하얗죠 i just wanna get inspired 근데 지구인들은 색깔이 다 거기서 거기 초록 색깔만을 원하지 because that means money there is no variety 그래서 난 널 원하지 나의 삶은 야망만이 필요했던 게 아녔지 난 너와 함께 있을 때면 i get something different because of you 색깔 없는 과일 누가 먹겠니 모양이 같은 게 수백 개면 널 찾겠니 다들 똑같앴지 다 생각이 굳어있었지 딱딱딱 딱 하나 있는 똑똑한 외계인 너였어 그런 너라면 뭔들, 너랑 이면 뭐든 할래 너의 우주선이 위험해 보여도 난 탈래 난 모험심 많은 risk taker with a palette so i'll fly with you baby I'll fly with you i can fly with you baby i will fly with you 너가 누구여도 나는 always baby I'll fly with you I can fly with you baby i wil fly with you 난 너와 함께라면 fly with you fly with you baby ill fly with you",남
922,오마이걸,메아리,2018.9.10,여름,이 느낌 난 왠지 꿈에서 본 적 있었는지 왜 낯설지가 않니 정글 숲 야자나무 나에겐 설렘이란 사실 초록빛에 가깝지 온종일 오르락내리락 이런 맘을 너는 알긴 할까 그래 거기 안녕 좋은 아침 난 말야 아무도 못 가본 멀리까지 더 가볼 거야 사랑이란 모험이야 내 맘이 이 두 발이 갑자기 좀 더 빨리 이런 달리기 있잖아 솔직히 오랜만인 것 같애 머리카락을 바짝 올려 묶고서 달려가 내가 전하고 싶은 건 내 맘속의 메아리 소리 태양 아래서 살짝 그을린 두 볼이 뜨거워 느껴져 내 진심이 좋아해 널 꽤 아주 많이 보이니 들리니 확신에 찬 내 걸음걸이 당찬 목소리 부스럭 인기척 서로의 마음 한가운데 들어와 있는 거지 날마다 땀이 나 목이 타 머리에선 김이 날 것 같아 때마침 날 적시던 소나기 난 말야 아무도 못 가본 높이까지 더 오를 거야 사랑이란 모험이야 네 말이 마른하늘이 몸이 빨리 날아오르는 느낌 기분이 좋은지 떨리는 두 손이 멋대로 어깨에 툭 머리카락을 바짝 올려 묶고서 달려가 내가 전하고 싶은 건 내 맘속의 메아리 소리 태양 아래서 살짝 그을린 두 볼이 뜨거워 느껴져 내 진심이 좋아해 널 꽤 아주 많이 메아리 소리 좋아해 많이 메아리 소리 좋아해 많이 메아리 소리 좋아해 많이 메아리 소리 좋아해 많이 머리카락을 바짝 올려 묶고서 달려가 내가 전하고 싶은 건 내 맘속의 메아리 소리 태양 아래서 살짝 그을린 두 볼이 뜨거워 느껴져 내 진심이 좋아해 널 꽤 아주 많이 lalalalala lalalalalalala lalalalala 내 맘속의 메아리 소리 lalalalala lalalalalalala lalalalala 좋아해 널 꽤 아주 많이,여
923,폴킴,만나볼래요,2019.10.7,여름,첨엔 혼자인 게 너무나 좋았어 그래 너도 내가 없으니 좋았지 우린 오래 함께였고 서로의 시간을 찾아 머나먼 모험을 한 거야 따사로운 햇살 새들의 속삭임과 끝없이 펼쳐진 푸른 바다 향기도 숨을 쉬면 느껴지는 자유가 너를 더 너를 더 떠오르게 해 두밥바 두밥바 다시 만나볼래요 두밥바 두밥바 내 손 잡아 줄래요 손에 물 한 방울 안 묻힐 순 없겠지만 후회하게는 안 할게요 첨엔 나도 이게 좋을 줄 알았어 그래 너도 내가 없으니 편하지 서로 바쁘단 핑계로 소홀해진 거야 다시 새로운 시작을 할 거야 오늘따라 날씬 왜 이리 구린 거야 미세먼지 나쁨 그 정도야 익숙해 뭐 하나 뜻대로 되는 게 없어 너를 더 너를 더 떠오르게 해 두밥바 두밥바 다시 만나볼래요 두밥바 두밥바 내 손 잡아 줄래요 적절한 집착 특유의 유머러스함으로 실망시키진 않을게요 하나론 외롭고 함께면 힘들다며 허구한 날 세상 탓만 할 순 없잖아 웃을 때 번지는 눈가의 미소가 너를 더 너를 더 떠오르게 해 두밥바 두밥바 다시 만나볼래요 두밥바 두밥바 내 손 잡아 줄래요 싸우다 지쳐서 잠들 날도 많겠지만 내가 더 많이 노력할게요 후회하게는 안 할게요 그대를 그대만 그대와 그대의 그대여 나와 만나볼래요,남
924,이진아,따뜻한 힘,2019.11.30,사계절,안녕 만나서 반가워 사랑스러운 내 친구 매일매일 너와 같이 시간 보내고 싶어 함께란 건 소중해 기쁨 슬픔 나눌 수 있어 슬퍼하지 마 멋진 자동차 타고서 한번 달려보는 거야 모험을 떠날 거야 넘어져도 괜찮아 괜찮아 나는 나는 인형인 걸 따뜻한 힘 모을 거야 사랑의 소리 들려줘 너에게 힘 전해줄 거야 웃을 수 있게 행복한 매일 될 수 있도록 별처럼 따뜻한 마음을 사랑을 가득 담아서,여
935,구구단,Wonderland,2016.6.28,사계절,어쩌지 내 맘이 어쩔 줄을 몰라 해 도대체 왜야 왜 처음으로 느끼는 뭔가 다른 세상에 살며시 몰래 따라가 두근두근 떨리는 내 마음을 어째 한발 한발 다가가 볼까 불어오는 바람에 몸을 맡기고 날아가볼까 머리부터 발끝까지 모든 걸 나의 모든 걸 난 찾고 싶어 하나하나 눈에 담고 싶은 걸 작은 것까지 난 알고 싶어 baby 날 따라다니는 머리 속에 물음표 거긴 대체 어때 물방울처럼 톡 터지는 이 궁금증 모험은 시작된 거야 반짝반짝 빛나는 숲 속 길을 따라 한발 한발 조심스럽게 구름 위로 살며시 몸을 맡기고 날아가볼까 머리부터 발끝까지 모든 걸 나의 모든 걸 난 찾고 싶어 하나하나 눈에 담고 싶은 걸 작은 것까지 난 알고 싶어 baby Tell Me Now 조금씩 다가가 볼 거야 아이쿠! 이걸! 어째! 내 손 잡아 줄래 같이 갈래 파란 하늘로 하나부터 열까지 난 궁금해 저기 먼 곳에 새로운 세계 하나하나 시작해 내 첫걸음 지금부터 난 시작할 거야 baby 머리부터 발끝까지 모든 걸 나의 모든 걸 난 찾고 싶어 하나하나 눈에 담고 싶은 걸 작은 것까지 난 알고 싶어 baby 라랄라랄 라라 라랄라랄 라라 라랄라랄 라랄 랄라 라랄라랄 라라 라랄라랄 라라 라랄라랄 라랄 랄라 라랄라랄 라라,여
926,"권영훈, 최진호",갈매기의 꿈,2019.3.16,여름,"sea mew, 비행하지 바다 위 비행하지 갈매기 날개 끝에는 고민을 담아 날리지 멀리 보내게 (항구에 앉아 파도 따라) 나는 소리는 swerve (나는 소리 swerve) 갈매기는 what (갈매기) 기리보이는 G.R. 난 원해 숨을 쉬는 거 꿈을 꾸는 거 표현하는 것뿐에 다른 추억에 다른 모습에 힘을 쓰는 건 추해 난 앞이 보일 때까지만 날아가야겠어 옆에 날개 접은 갈매기가 보여 계속 날개를 윙윙 비행기보다 (위에 위에) 비행기들 다 피해 내 날개에 적힌 건 (블링 블링) 새가 난 참 부러워 야 난 날개 달면 바로 fly 맛을 볼 걸 구름 정말 구름은 아무 맛도 없나? 누구도 몰라 I was trying to perfect flying 내가 갈매기야 말이 안 되나 우린 계속 다른 말에 휩쓸리며 살아야 해? 방황하면서? 아님 내게 집중해야 해? 나는 계속 살아남아야 해? 앞만 보며 날아야 해? 나는 계속 직진해야 해? 그저 흘러가는 대로 살지 말길 그저 흘러가는 대로 사는 게 맞지 기억해줘 우린 아직 (젊고 쩔어) 빛나고 있어 바다의 그 (풍경처럼) 저 너머를 보려면 가장 높게 날아야지 한 마리의 갈매기가 되어 도약, 항구에서부터 자유로이 Fly 날아가자 Fly 날개를 윙윙 윙윙 날개를 윙윙 윙윙 날개를 윙윙 윙윙 날개를 윙윙 윙윙 항구에 앉아 파도 따라 너머를 보기 위해 날갯짓을 했네 훨훨 너머를 보게 될 때 내가 실망할지 몰라도 내 눈은 보길 원했지 sea, forest, universe 그러면 마냥 힘들지는 않을 걸 모험이 그럼 나는 갈게 훨훨 모험하는 삶을 살길 바라 네가 원하는 걸 얻어 내야 하지 네가 바라는 게 뭐든 간에 나도 움직이며 걸어가야 하지 며칠 뒤엔 착륙하고 앞에 많은 사람들이 외쳐 Oh god bless man wait 갈매기가 추락하네 피해 Oh god bless man wait 갈매기가 일어났어 날아가게 도와줘야 해 내가 어디에서 걸어가든 저기 다른 곳에 가든 내 모습 지켜낼 수 있다면 뭐 있어 모험하는 삶 계속 외칠 수 있다면 그거 하나 건진다면 계속 날아가지 뭐 난 갈매기가 아니어도 등에 날개가 없대도 윙 난 갈매기가 아니어도 등에 날개가 없대도 윙윙 그저 흘러가는 대로 살지 않게 그저 흘러가는 대로 살아 볼게 아냐 흘러가는 것은 흘러가는 대로 현재의 우리도 멋있는 모습 이 무대 뒤로 무릎 꿇어도 그 모습마저 멋있어지게 만들어야 하니 현재의 속도로 we gone get it fly Fly 날아가자 Fly 날개를 윙윙 윙윙 날개를 윙윙 윙윙 날개를 윙윙 윙윙 날개를 윙윙 윙윙 항구에 앉아 파도 따라",남
927,팔로알토,Let the Story Begin,2020.8.30,사계절,"난 과거이자 현재고, 미래를 안 겁내 또 새 길이 열렸네, 모험을 떠날 채비를 해 겪었던 문제들로 선명히 보여, 이젠 10년째 지킨 자릴 내려놓기 좋은 엔딩이네 마음 편히 웃을 때도 한켠엔 긴장감이 때론 무엇을 지키려고 했던 걸까를 까먹지 많은 것들이 바뀌었지, 사람도, 상황도 다 그렇지 차가운 내 감정이 소름 돋고 안타까웠지 긴 시간 내 사업과 내 가정과 내 만족과 내 자존감 다 지키려고 하던 나의 모습 뒤엔 좌절감 성공과 내 업적과 내 통장 안에 돈들이 사랑하는 사람을 상처받게 하기도 해, 그게 나의 재산 나에 대한 평판은 다수의 여론이 결정해 때론 그게 더러워도 보여줘야만 했지, 어떤 게 나인지를, 어디로 가는지를, 선택한 나의 길은 다음의 누군가의 미래를 밝힐 지도일지도 이런 입장 겪어보기 전엔 몰라, 나를 둘러싼 논란 타인에겐 가십거리, 극복해야만 해, 혼자 위로는 잠시뿐, 실적을 내지 않는다면 난 그냥 무능한 장사꾼, 우정은 밥 안 먹여줘 조건으로 맺어진 종이 몇 장에 서명했으니 난 책임 다 해야 하고 약속한 대로 해내야지 뭔가의 성과를 위해 좀 더 목소릴 키웠던 게 너와 내 관계를 불편하게 해도 성숙히 견뎌내 여긴 회사고 넌 더 나은 곳을 갈 수도 강요할 순 없지, 함께 우리 끝까지 가는 걸 서로가 할 수 있는 최선을 다해서 한대도 만족이 안 되면 결국 우린 다른 길 갈 거고 이런 얘긴 차가운 게 아냐, reality 이 업종에 많은 사람들이 가진 fantasy 늘 줄다리기를 했던 창작 생활과 생존이 날 더 성장시켰으니 그걸로 배운 거지 터뜨린 샴페인 병, 오고 간 계약서와 영수증 사람들이 매긴 점수, 예상 못 한 많은 변수 10년간 이건 내 전부였고 도전들의 연속 너그럽지 않은 게임에서 난 견뎌냈으니 연승 긴 시간 이런 삶에 익숙해졌지만 미련 따윈 버려야 해, 미뤄뒀던 마음의 방을 비워볼 타이밍 수익을 만든 grind, 내가 있는 곳엔 사랑이 Why you wanna try me? 숱한 싸움에 아파오네, 마음이 때론 난 과몰입해, 어쩌면 그게 날 여기에 있게 한 거지 여러 결정이 나란 존재를 만들었네 숫자를 세, 하나둘셋, 마치 긴 꿈에서 깨어나듯 시작의 끝은 새로운 시작, 비운 잔을 채워가듯 함께한 이들은 기억하지 사랑해온 이들은 기억하지 함께한 이들은 기억하니 새로운 다음을 기약하지",남
928,스트레이키즈,Astronaut,2019.12.9,사계절,"탐험을 떠나갈 거야 Right now Young and free 두려울 건 없잖아 어디든 아지트가 될 거야 우주로 가자 Like an astronaut 난 준비돼있어 이미 가방을 다 쌌고 I stayed up all night 설레서 잠도 못 잤어 I’m brave, I’m great 다 돼 내가 뭐를 하든 Okay 준비 Ready steady 이제 가자고 Anywhere 지도 따윈 내 맘이 가는 대로 그려 필요 없네 내 발이 닿는 대로 밟아 그래 모험해 내 우주선에 타 Like an astronaut 저기 별은 내 두 손에 닿을 듯이 점점 다가오네 코앞에 다가오면 그저 잡으면 돼 어디든 가면 되니까 어디든 가면 돼 어디든 가면 돼 내 우주선에 타면 돼 별 찾으러 떠나 뭘 모르고 Fly tonight (hey) 우주로 가자 Like an astronaut 이상한 나라에 도착해도 찾아 나서지 않을 거야 출구 (Hey) 무섭지 않아 어디도 방에 불 켜고 자는 나이는 벌써 지났다구 (Ey) 나를 막는 게 있다면 넘지 않고 빠샤 빠샤 갑자기 뭔가가 튀어나와도 난 빵야 빵야 지도 따윈 내 맘이 가는 대로 그려 필요 없네 내 발이 닿는 대로 밟아 그래 모험해 내 우주선에 타 Like an astronaut 저기 별은 내 두 손에 닿을 듯이 점점 다가오네 코앞에 다가오면 그저 잡으면 돼 어디든 가면 되니까 어디든 가면 돼 어디든 가면 돼 내 우주선에 타면 돼 탐험을 떠나갈 거야 Right now Young and free 두려울 건 없잖아 어디든 아지트가 될 거야 우주로 가자 Like an astronaut Take off 별 찾으러 떠나 뭘 모르고 Fly tonight (hey) 우주로 가자 Like an astronaut Backpack 준비해놔 ey 당장 별을 찾아 Ey 빨랑 다녀올게 좀만 기다려봐 (Hey hey) Pitch black 해도 난 가 ey 당장 달을 찾아 Ey 빨랑 다녀올게 좀만 기다려봐 (Hey hey) 탐험을 떠나갈 거야 Right now Young and free 두려울 건 없잖아 어디든 아지트가 될 거야 우주로 가자 3, 2, 1, Take off 별 찾으러 떠나 뭘 모르고 Fly tonight (hey) 우주로 가자 Like an astronaut",남
929,뉴이스트,나의 천국,2016.2.17,사계절,샘물을 찾아 헤매도 어디도 없는 세상 결국엔 그런 건 없었던가 갈 길을 잃은 나 oh 끝이 보이질 않아 빛이 보이질 않아 두렵고 무서워 모든 게 겁나서 숨고만 싶었던 나 용길 내서 한걸음 뗐을 때 눈앞에 나타난 모험에 끝에 찾은 이 곳은 길을 헤매다 도착한 곳은 나만의 낙원 Is You Is You 내가 찾던 Oasis Sis 불안한 내 걱정을 재워줄 공허한 내 마음을 채워줄 나만의 천국 Is You Is You 세상이 온통 너로 가득 차길 바래 건조한 사막 주사위를 던지고 공허한 내 맘 방향을 잃어도 우연히 찾은 넌 마르지 않을 너 오아시스 IS U 나의 천국 IS U 찾기도 전에 난 겁부터 먹어 상상 속 그곳이 아니면 어쩌나 용기를 내서 내디뎠을 때 눈앞에 나타난 모험에 끝에 찾은 이 곳은 길을 헤매다 도착한 곳은 나만의 낙원 Is You Is You 내가 찾던 Oasis Sis 불안한 내 걱정을 재워줄 공허한 내 마음을 채워줄 나만의 천국 Is You Is You 세상이 온통 너로 가득 차길 바래 다 시든 꽃이 다시 피고 말랐던 샘에 물이 솟는 유일한 답은 너라는 걸 알고 있어 절망에 끝에 찾은 이 곳은 나를 숨쉬게 해주는 곳은 나만의 낙원 Is You Is You 내가 찾던 Oasis Sis 모든걸 걸고 널 지켜줄게 모든 게 변해도 변하지 않을 나만의 천국 Is You Is You 세상이 온통 너로 가득 차길 바래,남
930,자우림,피터의 노래,2011.8.18,사계절,"어느 새 우리들의 모험은 끝이 나 버렸네. 어디라도 갈 수 있었지, 자유로운 새처럼. 시간은 우리들에게 아무것도 아닐 줄 알았었네. 세상 따위, 언제라도 버릴 수 있다 생각했네. 라라라라 라라라라 어린 날의 치기와 라라라라 라라라라 살아 갈 많은 날들. 때로는 살아가는 것이 죽기보다 힘들고 지켜내야 할 많은 것이 이 어깨를 눌러도 시간이 우리들에게 무언가 가르쳐주지 않았다면 여전히 우리는 아이인 채 세상을 비웃고만 있겠지. 라라라라 라라라라라 행복의 파랑새와 라라라라 라라라라라 우리가 버린 것들. 때로는 나를 버리려 했고 때로는 세상을 버리려 했고 때로 나 혼자만 그런 줄 알았고. 가지고 있는 줄도 모르는 채 잃어버리는 줄도 모르는 채 아직도 많이 남아 있는 줄 모른 채. 라라라라 라라라라라 어린 나의 치기와 라라라라 라라라라라 살아갈 많은 날들 라라라라 라라라라라 행복의 파랑새야 라라라라 라라라라라 제발 머물러다오.",혼성
931,원더걸스,Anybody,2008.11.18,사계절,이별이 아니면 안됐어 너 울었어 내 강제성 때문에 넌 나만 아니면돼 Let's go HooK - 원더걸스> I want nobody nobody but you (Anybody Anybody but me) I want nobody nobody but you (Anybody Anybody but me) 난 다른사람은 싫어 니가 아니면 싫어 I want nobody nobody nobody nobody Rap1 - 개코> 나이값 못하고 저렴하게 구는 내가 모험같은 사랑에 대범하지 못한 내가 너무 미워 매몰차게 아주 일방적으로 너를 쫓아낸후에 내 맘은 인적없는 폐가 나 홀로 그리움이란 벗과 술을 짜냈어 자꾸 초라해진 나란 존재 앞에서 널 사랑할 자격없는 놈이라며 울었어 이 비참하고 나약한 내 자격지심 앞에서 나 이를 꽉 물어 잘나가겠다며 당당하게 니앞에 꼭 나타나겠다며 궁상을 떨면서 힘없이 뻣뻣하게 웃어 근데 현실은 안그래 난 또 눈썹 사이를 구겨 uh 심장이 뻥 뚫려서 넘쳐나는 외로움들이 질질새 근데 얇은 내 지갑은 거꾸로 서도 동전하나 새질않아 난 또 빌빌대 HooK - 원더걸스> I want nobody nobody but you (Anybody Anybody but me) I want nobody nobody but you (Anybody Anybody but me) 난 다른사람은 싫어 니가 아니면 싫어 I want nobody nobody nobody nobody Rap2 - 최자> 뒤도 돌아보지말고 제발 나를 떠나 그리고 당분간은 전화기를 꺼놔 아니 차라리 전화번호를 바꿔놔 그래그게 났겠다 절대 나를 찾거나 하지 말아줘 현실에 눈을 떠 더 늦기전에 우리 사랑이란 불을 꺼 우리좋은 추억마저 다 태워버릴까봐 겁이나 그만해 아쉽지만 너 울먹이며 말해 너 없이 난 안돼 착각하지마 내가 없어야 넌 잘돼 너 똑똑하잖아 한번더 생각해봐 너 꼼꼼하잖아 한번더 계산해봐 너무 불리해 사랑이란 도박은 불보듯 뻔해 그때 피눈물만 흘리게 너무 분해 내게 줄께 이별뿐이라는게 곁에 있어봤자 내게 시련뿐이라는게 HooK - 원더걸스> I want nobody nobody but you (Anybody Anybody but me) I want nobody nobody but you (Anybody Anybody but me) 난 다른사람은 싫어 니가 아니면 싫어 I want nobody nobody nobody nobody Verse - JYP> 내말 잘들어 nobody 난 아니 라는게 너무나도 뻔한데 왜 이러고 있니 nobody 뭐하니 돌아서 떠나라는데 왜 계속 거기 서있니 nobody 내말이 맞는 말이잖아 너도 알고있잖아 nobody Anybody but me Rap3 - San E> uh 갖고싶었어 널 처음봤을때 얼른 안고싶었어 생각도 않은채 용서해 나 왜 이렇게 못났나 싶어 너 울던순간 심장을 꺼내 태우고싶어 잘가 가지마 GOD거짓말(싫어싫어) 겉은 가라지만 속은 날 떠나지마 몇번이나 목까지 올라왔지만 마른침과 힘겹게 삼켜가며 독하게 나 다짐해 추억이면 충분타며 여기까지가 끝 우리 사랑의 달력 니 이름이 습관처럼 몸에 베 술취해 미안하다며 혹시 부르게 되 또 그냥 가면 되 Anybody but me 선택하면 되 이것만 알면되 너만이 날 완전케 했던걸 아니 왜냐면 난 빼기 너는 equal nobody HooK - 원더걸스> I want nobody nobody but you (Anybody Anybody but me) I want nobody nobody but you (Anybody Anybody but me) 난 다른사람은 싫어 니가 아니면 싫어 I want nobody nobody nobody nobody,여
932,소수빈,얼마나 더,2019.12.6,사계절,너의 앞에 있을 때 난 자꾸만 웃음이 나오게 돼 너는 어떤 생각을 하고 있어 나는 그래 똑똑하지 않아 혼자서 해낼 자신이 없어 나는 너의 대답을 듣고 싶어 우린 어떠한 작고 위험한 모험을 하고 있어 저기 멀리 부터 나를 향해 불어오는 너 네게 기대 얘기하고 싶어 난 얼마나 더 나를 보고 싶었나요 희미해진 볕이 얼굴을 뒤덮네요 그대 얼마나 믿나요 나를 바라봐 줄래요 어두워진 밤에 유독 빛나고 있어 그대의 맘에 드리운 채로 영원하게 된다면 나의 욕심들이여 안녕 네게 기대 편히 잠들고 싶어 얼마나 더 나를 보고 싶었나요 희미해진 볕이 얼굴을 뒤덮네요 그대 얼마나 믿나요 나를 바라봐 줄래요 어두워진 밤에 유독 빛나고 있어 그대에게만 줄래요 나를 바라봐 줄래요 어두워진 밤에 유독 빛나고 있어,남
933,MC스나이퍼,대화,2004.3.18,사계절,대화만이 문화의 불화를 아주 빠르게 변화시키지 모험엔 언제나 위험이 따라 두려운 경험을 몸소 체험 거리로 힙합 문화의 문제점을 문책함에도 거침이 없는 충신의 증언을 충분히 고려해 싸우네 배고픈 MC 삶의 철학은 어머니의 회초리보다 더 매섭지 굳은 내 심지와 패기 의식 속의 의지는 의식주의 의미를 잊고 산지가 오래니 본질을 잃은 MC를 견제 절대 까불게 나두질 못해 콧대와 기세를 남김없이 꺾네 아! 투쟁과 논쟁 병권을 잃은 그대를 주제로 제대로 사실적 시제로 오해가 없는 이해와 화해로 시대를 인도 힙합이라는 거리 문화를 승화 시킴이 필요한 요소는 산소와 같은 MC들의 평화 클럽이 사라져 생업이 사라져 의식이 어린 여린 MC는 실업에 무너져 좌절에 자빠져 아무도 모르게 스스로 사라져 그래봐 디지의 디스는 튼튼한 정신과 육신을 지닌 외침이 아닌 혼자 살고자 발목을 잡은 처신 배신을 낳는 힙합씬의 희생양이자 지는 석양 너의 태양은 빛을 잃었다 열정을 태우지 않기에 디지와 같은 엇갈린 경로를 바로 잡는건 오직 화합 힙합문화는 팬을 잡은 MC의 손에 달렸다 내게 포함된 그대는 누구냐? 배치기의 탁탁입니다. 내가 이끄는 대원이 누구야? Buddha Baby 입니다. 힙합의 대안은 누가 제안해? 스나이퍼 당신 입니다. 붓다베이비의 대가리는 스나이퍼즈 한명뿐 TakTak36> Lord have mercy love & peace 문턱에서만 늘 꿈꿔 그저 매번 단물 쏙 빼먹고 이씬을 거느리겠다고 너는 머릴 써 걸음걸이서 부터가 알아봐야 했다 빨리 막 했어야 했는데 내가 Yo! 서로 다툼 이래갖곤 안된다고 누누히 씬을 갖고 놀고 있어 발전이라곤 no! no! 어림반푼어치 없고 입터진 리스너들의 거친말은 누구 책임인지 서로 등돌리고 있고 대신 가까스로 건넨 말 한마디가 오해로 되고 섣부른 판단에 토네이도처럼 휩쓸어간 먼지가 큰 계곡들을 만들어 너와 내 길을 막아 박차를 가하기엔 벽들이 얼마나 how high 피로 물든 저녁 지쳐 있는 바닥에 대화를 물을 줘야 해 곧 손에쥔 난해한 문제는 한 순간에 사라져가 조금씩 누그러져가 누구부턴가? 펜을 잡은 나부터라는걸 알아둬 Gotta going on 내게 포함된 그대는 누구냐? 배치기의 탁탁입니다. 내가 이끄는 대원이 누구야? Buddha Baby 입니다. 힙합의 대안은 누가 제안해? 스나이퍼 당신 입니다. 붓다베이비의 대가리는 스나이퍼즈 한명뿐 내게 포함된 그대는 누구냐? 배치기의 탁탁입니다. 내가 이끄는 대원이 누구야? Buddha Baby 입니다. 힙합의 대안은 누가 제안해? 스나이퍼 당신 입니다. 붓다베이비의 대가리는 스나이퍼즈 한명뿐 MC Sniper> 전쟁과 디스는 별개의 문제 내가 묻겠다 리얼에 대해 살아있는 자들의 목소리 내가 내뱉는 의식의 소재 명분을 잃은 MC는 하늘을 잃은 정승같아 내가 생각한 MC의 조건을 거침없이 토해라 MC라면 종이와 팬을 항상 지니고 다니며 MC라면 디제이의 충언을 항상 귀담아 들으며 MC라면 거리의 미술을 항상 마음에 그리며 MC라면 언더그라운드에 존경을 표할 것이다 MC라면 거리의 언어를 책으로 여길 것이며 MC라면 춤추는 이들을 무대로 부를 것이며 MC라면 형제의 상처를 내 것으로 여길 것이며 MC라면 무대에 올라 무대에서 죽을 것이다 고향을 떠나온 나의 마음은 언더그라운드 나의 정신과 육신의 존경은 언더그라운드 내게 포함된 그대는 누구냐? 배치기의 탁탁입니다. 내가 이끄는 대원이 누구야? Buddha Baby 입니다. 힙합의 대안은 누가 제안해? 스나이퍼 당신 입니다. 붓다베이비의 대가리는 스나이퍼즈 한명뿐 * 4,남
